date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:59:48	271/271	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2001:34:51%20GMT	http://themesground.com/robots.txt		(from )
07:59:49	196301/196301	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:24%20GMT	http://themesground.com/bigshop/V2/	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/index.html	(from )
07:59:50	109518/109518	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:31%20GMT	http://themesground.com/bigshop/V2/assets/css/bootstrap.min.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/bootstrap.min.css	(from http://themesground.com/bigshop/V2/)
07:59:50	157254/157254	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:36%20GMT	http://themesground.com/bigshop/V2/assets/css/main.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/main.css	(from http://themesground.com/bigshop/V2/)
07:59:52	15954/15954	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:27%20GMT	http://themesground.com/bigshop/V2/assets/css/blue.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/blue.css	(from http://themesground.com/bigshop/V2/)
07:59:52	11047/11047	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:32%20GMT	http://themesground.com/bigshop/V2/assets/css/simple-line-icons.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/simple-line-icons.css	(from http://themesground.com/bigshop/V2/)
07:59:52	1476/1476	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:31%20GMT	http://themesground.com/bigshop/V2/assets/css/owl.carousel.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/owl.carousel.css	(from http://themesground.com/bigshop/V2/)
07:59:52	4476/4476	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:32%20GMT	http://themesground.com/bigshop/V2/assets/css/owl.transitions.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/owl.transitions.css	(from http://themesground.com/bigshop/V2/)
07:59:53	53431/53431	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:28%20GMT	http://themesground.com/bigshop/V2/assets/css/animate.min.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/animate.min.css	(from http://themesground.com/bigshop/V2/)
07:59:53	2433/2433	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:32%20GMT	http://themesground.com/bigshop/V2/assets/css/rateit.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/rateit.css	(from http://themesground.com/bigshop/V2/)
07:59:53	5688/5688	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:27%20GMT	http://themesground.com/bigshop/V2/assets/css/bootstrap-select.min.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/bootstrap-select.min.css	(from http://themesground.com/bigshop/V2/)
07:59:54	34984/34984	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2011:45:30%20GMT	http://themesground.com/bigshop/V2/assets/css/font-awesome.css	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/css/font-awesome.css	(from http://themesground.com/bigshop/V2/)
07:59:56	3907/3907	---M--	200	added ('OK')	image/png	etag:%222ee2155-f43-5586fc5e8cd7e%22	http://themesground.com/bigshop/V2/assets/images/logo.png	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/logo.png	(from http://themesground.com/bigshop/V2/)
07:59:56	196301/196301	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:24%20GMT	http://themesground.com/bigshop/V2/home.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/home.html	(from http://themesground.com/bigshop/V2/)
07:59:56	134072/134072	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:15%20GMT	http://themesground.com/bigshop/V2/category.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/category.html	(from http://themesground.com/bigshop/V2/)
07:59:57	1487/1487	---M--	200	added ('OK')	image/png	etag:%222ee214d-5cf-5586fc5d28289%22	http://themesground.com/bigshop/V2/assets/images/cart.png	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/cart.png	(from http://themesground.com/bigshop/V2/)
07:59:58	21710/21710	---M--	200	added ('OK')	image/jpeg	etag:%222ee217c-54ce-5586fc74f2694%22	http://themesground.com/bigshop/V2/assets/images/banners/top-banner-img.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/banners/top-banner-img.jpg	(from http://themesground.com/bigshop/V2/)
07:59:58	69304/69304	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:18%20GMT	http://themesground.com/bigshop/V2/detail.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/detail.html	(from http://themesground.com/bigshop/V2/)
08:00:01	29472/29472	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2002:00:00%20GMT	http://themesground.com/bigshop/V2/index.php?page-detail	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/index.118a95.delayed	(from http://themesground.com/bigshop/V2/)
08:00:02	41086/41086	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:13%20GMT	http://themesground.com/bigshop/V2/checkout.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/checkout.html	(from http://themesground.com/bigshop/V2/)
08:00:03	34062/34062	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:14%20GMT	http://themesground.com/bigshop/V2/contact.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/contact.html	(from http://themesground.com/bigshop/V2/)
08:00:03	38117/38117	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:23%20GMT	http://themesground.com/bigshop/V2/shopping-cart.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/shopping-cart.html	(from http://themesground.com/bigshop/V2/)
08:00:04	43388/43388	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:11%20GMT	http://themesground.com/bigshop/V2/blog.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/blog.html	(from http://themesground.com/bigshop/V2/)
08:00:04	46641/46641	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:10%20GMT	http://themesground.com/bigshop/V2/blog-details.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/blog-details.html	(from http://themesground.com/bigshop/V2/)
08:00:05	34341/34341	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:25%20GMT	http://themesground.com/bigshop/V2/sign-in.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/sign-in.html	(from http://themesground.com/bigshop/V2/)
08:00:05	33316/33316	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:20%20GMT	http://themesground.com/bigshop/V2/my-wishlist.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/my-wishlist.html	(from http://themesground.com/bigshop/V2/)
08:00:05	34616/34616	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:26%20GMT	http://themesground.com/bigshop/V2/terms-conditions.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/terms-conditions.html	(from http://themesground.com/bigshop/V2/)
08:00:06	32356/32356	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:26%20GMT	http://themesground.com/bigshop/V2/track-orders.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/track-orders.html	(from http://themesground.com/bigshop/V2/)
08:00:06	33794/33794	---M--	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:22%20GMT	http://themesground.com/bigshop/V2/product-comparison.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/product-comparison.html	(from http://themesground.com/bigshop/V2/)
08:00:08	42920/42920	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:17%20GMT	http://themesground.com/bigshop/V2/faq.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/faq.html	(from http://themesground.com/bigshop/V2/)
08:00:08	29238/29238	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202017%2011:45:09%20GMT	http://themesground.com/bigshop/V2/404.html	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/404.html	(from http://themesground.com/bigshop/V2/)
08:00:17	77875/77875	---M--	200	added ('OK')	image/jpeg	etag:%222ee217e-13033-5586fc77d0885%22	http://themesground.com/bigshop/V2/assets/images/banners/top-menu-banner.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/banners/top-menu-banner.jpg	(from http://themesground.com/bigshop/V2/)
08:00:22	29800/29800	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2002:00:20%20GMT	http://themesground.com/bigshop/V2/index.php?page=single-product	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/index.216c11.delayed	(from http://themesground.com/bigshop/V2/)
08:00:22	102097/102097	---M--	200	added ('OK')	image/png	etag:%222ee2172-18ed1-5586fc6bab32b%22	http://themesground.com/bigshop/V2/assets/images/banners/banner-side.png	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/banners/banner-side.png	(from http://themesground.com/bigshop/V2/)
08:00:24	94722/94722	---M--	200	added ('OK')	image/jpeg	etag:%222ee21bc-17202-5586fce5b8e26%22	http://themesground.com/bigshop/V2/assets/images/sliders/01.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/sliders/01.jpg	(from http://themesground.com/bigshop/V2/)
08:00:25	17539/17539	---M--	200	added ('OK')	image/jpeg	etag:%222ee217a-4483-5586fc73fe461%22	http://themesground.com/bigshop/V2/assets/images/banners/small-2.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/banners/small-2.jpg	(from http://themesground.com/bigshop/V2/)
08:00:27	15324/15324	---M--	200	added ('OK')	image/jpeg	etag:%222ee217b-3bdc-5586fc747a0d2%22	http://themesground.com/bigshop/V2/assets/images/banners/small-3.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/banners/small-3.jpg	(from http://themesground.com/bigshop/V2/)
08:00:27	209155/209155	---M--	200	added ('OK')	image/jpeg	etag:%222ee214c-33103-5586fc638ae72%22	http://themesground.com/bigshop/V2/assets/images/cart.jpg	C:/Users/Suvro%20Datta/Desktop/bigshop/themesground.com/bigshop/V2/assets/images/cart.jpg	(from http://themesground.com/bigshop/V2/)
